node_id,x0,x1,x2,x3,x4,parent_id
0,-48,-48,0,0,0,-1
1,48,48,0,0,35,8
2,-46.6530052,-17.00357924,5.719071129,-2.325399535,7.21927985,0
3,26.06715722,-41.83277171,1.528686255,1.939556672,26.01446774,0
4,5.523104014,22.85462551,3.866218226,8.883843913,20.43005367,2
5,-38.00548352,-28.4469407,11.65929853,14.50702638,18.10151786,0
6,41.35672198,-15.14397453,-6.522983807,-8.057175527,16.95010266,9
7,-30.33306342,28.65701107,-1.979532608,-12.44062051,26.95481797,0
8,10.29865582,12.30814749,-8.327807804,-9.931575342,19.71725517,0
9,27.91573502,-2.182107443,-0.4386308954,1.642742612,8.463219913,0
10,42.60618155,40.4200552,1.819940431,-12.14127255,30.88809352,8
