elapsed_s,duration_ms,time_to_goal,path_cost,obstacle_checks,rewire_neighbor_searches,orphaned_nodes,collision_count
0.00093177,6924.93,25,0,0,0,0,1
12.5725,0.00028,24.961,0,0,0,0,1
12.6238,0.00028,24.922,0,0,0,0,1
12.6754,0.000413,24.864,0,0,0,0,1
12.7274,0.000308,24.826,0,0,0,0,1
12.7795,0.000405,24.768,0,0,0,0,1
12.8318,0.000334,24.71,0,0,0,0,1
12.8841,0.000274,24.673,0,0,0,0,1
12.9354,0.000513,24.614,0,0,0,0,1
12.988,0.000298,24.557,0,0,0,0,1
13.04,0.000262,24.519,0,0,0,0,1
13.0914,0.000247,24.461,0,0,0,0,1
13.1431,0.00029,24.422,0,0,0,0,1
13.195,0.000352,24.364,0,0,0,0,1
13.2471,0.000268,24.325,0,0,0,0,1
13.2987,0.000266,24.268,0,0,0,0,1
13.3502,0.000354,24.21,0,0,0,0,1
13.4023,0.000459,24.171,0,0,0,0,1
13.4545,0.000232,24.113,0,0,0,0,1
13.506,0.000321,24.075,0,0,0,0,1
13.5584,0.000256,24.017,0,0,0,0,1
13.6099,0.000314,23.959,0,0,0,0,1
13.6617,0.000429,23.92,0,0,0,0,1
13.7138,0.000303,23.862,0,0,0,0,1
13.7659,0.000327,23.824,0,0,0,0,1
13.8178,0.000416,23.766,0,0,0,0,1
13.8702,0.000581,23.709,0,0,0,0,1
13.9224,0.000321,23.671,0,0,0,0,1
13.9748,0.000215,23.614,0,0,0,0,1
14.0265,0.000399,23.575,0,0,0,0,1
14.0793,0.000385,23.518,0,0,0,0,1
14.1317,0.000358,23.46,0,0,0,0,1
14.1839,0.000355,23.423,0,0,0,0,1
14.2364,0.000235,23.365,0,0,0,0,1
14.2884,0.000199,23.308,0,0,0,0,1
14.3402,0.0004,23.269,0,0,0,0,1
14.3924,0.000295,23.211,0,0,0,0,1
14.4449,0.000276,23.174,0,0,0,0,1
14.4972,0.000223,23.115,0,0,0,0,1
14.5492,0.000164,23.058,0,0,0,0,1
14.601,0.000263,23.02,0,0,0,0,1
14.6531,0.000254,22.962,0,0,0,0,1
14.7054,0.000323,22.924,0,0,0,0,1
14.7575,0.000255,22.866,0,0,0,0,1
14.8097,0.000204,22.809,0,0,0,0,1
14.8614,0.000376,22.77,0,0,0,0,1
14.9145,0.000297,22.714,0,0,0,0,1
14.9671,0.000259,22.676,0,0,0,0,1
15.0192,0.000416,22.618,0,0,0,0,1
15.0721,0.000335,22.562,0,0,0,0,1
15.1251,0.00036,22.524,0,0,0,0,1
15.178,0.000306,22.467,0,0,0,0,1
15.2309,0.00032,22.41,134.499,0,0,0,1
15.2836,0.000301,22.373,134.499,0,0,0,1
15.3347,0.000341,22.315,134.499,0,0,0,1
15.3862,0.000448,22.276,134.499,0,0,0,1
15.4384,0.000275,22.218,134.499,0,0,0,1
15.4895,0.000317,22.16,134.499,0,0,0,1
15.5408,0.000216,22.121,134.499,0,0,0,1
15.5917,0.000343,22.063,134.499,0,0,0,1
15.6431,0.000286,22.025,134.499,0,0,0,1
15.6947,0.000291,21.966,134.499,0,0,0,1
15.7458,0.000351,21.927,134.499,0,0,0,1
15.7971,0.000273,21.869,134.499,0,0,0,1
15.8481,0.000331,21.811,134.499,0,0,0,1
15.8997,0.000179,21.772,134.499,0,0,0,1
15.9508,0.000263,21.714,134.499,0,0,0,1
16.0021,0.000348,21.675,134.499,0,0,0,1
16.0536,0.000297,21.617,134.499,0,0,0,1
16.1049,0.000319,21.578,134.499,0,0,0,1
16.1563,0.000351,21.52,134.499,0,0,0,1
16.208,0.000254,21.461,134.499,0,0,0,1
16.259,0.000309,21.422,134.499,0,0,0,1
16.3104,0.000282,21.363,134.499,0,0,0,1
16.3614,0.000493,21.324,134.499,0,0,0,1
16.4129,0.000379,21.267,134.499,0,0,0,1
16.4645,0.000505,21.228,134.499,0,0,0,1
16.5158,0.000355,21.169,134.499,0,0,0,1
16.567,0.00033,21.13,134.499,0,0,0,1
16.6183,0.000295,21.072,134.499,0,0,0,1
16.6695,0.000459,21.013,134.499,0,0,0,1
16.7211,0.000198,20.975,134.499,0,0,0,1
16.7719,0.000405,20.915,134.499,0,0,0,1
16.8233,0.00028,20.876,134.499,0,0,0,1
16.8745,0.000339,20.818,134.499,0,0,0,1
16.9258,0.000489,20.779,134.499,0,0,0,1
16.9773,0.000261,20.721,134.499,0,0,0,1
17.0283,0.000281,20.662,134.499,0,0,0,1
17.0796,0.000527,20.624,134.499,0,0,0,1
17.1309,0.000501,20.565,134.499,0,0,0,1
17.1827,0.000339,20.526,134.499,0,0,0,1
17.234,0.000502,20.467,134.499,0,0,0,1
17.2853,0.000341,20.428,134.499,0,0,0,1
17.3368,0.000455,20.37,134.499,0,0,0,1
17.3887,0.00026,20.311,134.499,0,0,0,1
17.4402,0.000351,20.272,134.499,0,0,0,1
17.4917,0.000292,20.214,134.499,0,0,0,1
17.5434,0.000361,20.175,134.499,0,0,0,1
17.5951,0.000506,20.117,134.499,0,0,0,1
17.6467,0.000369,20.078,134.499,0,0,0,1
17.6984,0.000281,20.02,134.499,0,0,0,1
17.7496,4771.16,19.962,0,0,92,4,1
22.5721,0.000258,19.911,112.346,0,92,4,1
22.623,0.000217,19.871,112.346,0,92,4,1
22.674,0.000305,19.812,112.346,0,92,4,1
22.7252,0.000461,19.774,112.346,0,92,4,1
22.7767,0.000257,19.715,112.346,0,92,4,1
22.8278,0.000215,19.657,112.346,0,92,4,1
22.8791,0.000322,19.617,112.346,0,92,4,1
22.9307,0.000272,19.559,112.346,0,92,4,1
22.9819,0.000395,19.52,112.346,0,92,4,1
23.0336,0.000621,19.462,112.346,0,92,4,1
23.0853,0.000292,19.424,112.346,0,92,4,1
23.1366,0.000639,19.365,112.346,0,92,4,1
23.1882,0.000197,19.307,112.346,0,92,4,1
23.2394,0.000335,19.268,112.346,0,92,4,1
23.2909,0.000317,19.21,112.346,0,92,4,1
23.3426,0.000381,19.171,112.346,0,92,4,1
23.3944,0.000365,19.113,112.346,0,92,4,1
23.4463,0.000304,19.074,112.346,0,92,4,1
23.4981,0.000282,19.017,112.346,0,92,4,1
23.5496,0.000282,18.959,112.346,0,92,4,1
23.6014,0.000277,18.92,112.346,0,92,4,1
23.6529,0.000449,18.861,112.346,0,92,4,1
23.7047,0.000517,18.823,112.346,0,92,4,1
23.7563,0.000276,18.765,112.346,0,92,4,1
23.8081,0.000503,18.707,112.346,0,92,4,1
23.8596,0.000329,18.67,112.346,0,92,4,1
23.911,0.000361,18.612,112.346,0,92,4,1
23.9626,0.000291,18.573,112.346,0,92,4,1
24.0142,0.000332,18.515,112.346,0,92,4,1
24.0658,0.000479,18.476,112.346,0,92,4,1
24.1178,0.000266,18.417,112.346,0,92,4,1
24.1691,0.000324,18.358,112.346,0,92,4,1
24.2208,0.000318,18.32,112.346,0,92,4,1
24.2725,0.000445,18.262,112.346,0,92,4,1
24.3247,0.000321,18.223,112.346,0,92,4,1
24.3764,0.000331,18.165,112.346,0,92,4,1
24.4281,0.00038,18.106,112.346,0,92,4,1
24.4796,0.000309,18.069,112.346,0,92,4,1
24.5314,0.000238,18.011,112.346,0,92,4,1
24.5825,0.000535,17.972,112.346,0,92,4,1
24.6343,0.000327,17.913,112.346,0,92,4,1
24.6859,0.000292,17.875,112.346,0,92,4,1
24.7372,0.000483,17.817,112.346,0,92,4,1
24.7892,0.000325,17.758,112.346,0,92,4,1
24.8408,0.000291,17.72,112.346,0,92,4,1
24.8924,0.00029,17.661,112.346,0,92,4,1
24.9438,0.000226,17.623,112.346,0,92,4,1
24.9948,0.000225,17.564,112.346,0,92,4,1
25.0459,0.000352,17.525,112.346,0,92,4,1
25.0975,0.000289,17.467,112.346,0,92,4,1
25.149,0.000327,17.408,112.346,0,92,4,1
25.2006,0.000262,17.369,112.346,0,92,4,1
25.2518,0.000311,17.311,112.346,0,92,4,1
25.3034,0.000896,17.272,112.346,0,92,4,1
25.3548,0.0004,17.214,112.346,0,92,4,1
25.4065,0.000415,17.174,112.346,0,92,4,1
25.4581,0.000312,17.117,112.346,0,92,4,1
25.5098,0.000325,17.059,112.346,0,92,4,1
25.5614,0.000259,17.02,112.346,0,92,4,1
25.6128,0.000251,16.962,112.346,0,92,4,1
25.6641,0.000347,16.923,112.346,0,92,4,1
25.7158,0.000283,16.864,112.346,0,92,4,1
25.767,0.000338,16.825,112.346,0,92,4,1
25.8189,0.000221,16.767,112.346,0,92,4,1
25.8702,0.000265,16.708,112.346,0,92,4,1
25.9216,0.000351,16.67,112.346,0,92,4,1
25.9732,0.000447,16.612,112.346,0,92,4,1
26.0249,0.000343,16.574,112.346,0,92,4,1
26.0769,0.000379,16.516,112.346,0,92,4,1
26.129,0.000212,16.458,112.346,0,92,4,1
26.1806,0.000331,16.419,112.346,0,92,4,1
26.2322,0.000383,16.361,112.346,0,92,4,1
26.2842,0.000346,16.322,112.346,0,92,4,1
26.3361,0.000427,16.265,112.346,0,92,4,1
26.3883,0.000236,16.207,112.346,0,92,4,1
26.4402,0.000369,16.169,112.346,0,92,4,1
26.4924,0.000375,16.111,112.346,0,92,4,1
26.5445,0.000322,16.074,112.346,0,92,4,1
26.5961,0.000189,16.016,112.346,0,92,4,1
