node_id,x0,x1,x2,x3,x4,parent_id
0,-48,-48,0,0,0,-1
1,48,48,0,0,40,-1
2,-43.88407258,-30.14095058,-0.4611785691,-2.898334456,7.176865506,0
3,-43.56172851,-13.3967257,3.407873811,-4.878263563,17.00764742,2
4,-35.94351356,-35.4394474,-1.532993266,2.951329926,23.59371737,0
5,-38.35149773,0.3286698214,-4.063001161,-2.100371806,27.82167947,198
6,-41.66087149,-38.47652892,-2.016250515,-5.828388662,6.957074394,0
7,-41.49625897,-35.55089216,-3.059208546,7.606218016,15.05885738,6
8,-29.5921611,-39.1009652,-6.340300409,3.063143123,34.50123796,12
9,-19.54105412,-0.2402458988,-8.316009216,1.059369283,31.53361107,172
10,-3.735096832,-10.64599382,-3.984737143,3.166336478,35.36764647,156
11,-46.76342343,-47.32654681,2.735699555,-3.229702275,19.39353608,0
12,-42.62370946,-47.6604206,0.159650494,2.411864971,9.25577423,0
13,-38.82594387,-40.26240799,5.267132251,-2.092943935,16.06779917,12
14,-48.56408299,-28.91074572,3.108833743,-7.405297245,20.06697577,0
15,-39.86956127,-35.71091871,5.026725605,1.422104322,23.47378756,0
16,-48.589752,-47.33737094,-3.314178231,-8.075914187,17.86101563,12
17,-36.11835957,-12.38330962,7.449474926,3.236104936,33.05129608,140
18,-43.76376588,-6.180377238,-5.714832498,1.763366483,31.19686629,197
19,-26.19883561,15.42658684,-6.338921542,-3.335885233,31.51847938,5
20,-36.33797615,-33.7297765,1.61128424,-2.347357258,34.62601583,0
21,-27.0639466,-25.09088832,-4.653357514,0.8474642718,14.36030441,2
22,-13.51820871,-25.00256597,-3.500835657,2.241372549,27.4182826,91
23,-28.75146988,-41.50979237,-4.579811087,4.184887789,14.87625165,12
24,-26.6228469,-31.74465316,7.54311469,3.693635901,33.95270355,6
25,-24.73005898,-33.71235518,4.629182247,-0.008139198184,20.4478904,6
26,-45.11237551,-26.83781045,-3.483766616,8.15384104,23.06084633,39
27,-29.77742368,-38.50567084,-10.03854539,4.403152231,15.00391523,6
28,-28.56852372,-37.92958106,-8.53916502,-6.10472789,31.78336477,12
29,-47.06149767,-27.63076517,-7.550609621,7.784947279,26.56122544,14
30,-28.21511431,-26.32708347,-0.9732100886,-0.6610627078,33.78540227,4
31,-5.542689964,-35.99449554,3.840006067,5.861050516,39.4426533,141
32,-45.00879957,-6.931034362,7.926250115,-0.8043855642,25.37082845,197
33,-42.13301782,-33.05509415,-2.105833672,1.450202567,33.78229221,0
34,-20.60612355,-36.80342892,7.748051678,1.662983162,26.5196068,23
35,-16.1991728,30.51172415,-3.41613896,-9.712572332,35.90567791,19
36,-41.12803237,-6.353532223,-3.45143747,-2.166829392,32.77335921,197
37,-36.26928594,10.27316878,7.262545024,0.1745339321,35.92685981,5
38,-36.48304054,-5.020576648,8.109452786,-1.384883237,37.37187812,46
39,-46.33707809,-38.77854808,-2.882148776,0.3050231912,11.38044004,0
40,-16.38816454,-48.81471945,3.626745799,4.280970902,24.70978967,23
41,-24.91912142,0.8297030119,-5.109574501,4.545661248,32.34754067,109
42,-19.48158176,3.520273722,6.374922558,-1.268152411,39.55563184,172
43,-48.5076197,-35.2351813,-6.126811994,-0.7624797364,9.777440582,0
44,-30.3298856,-40.91349043,1.925279567,-4.626055937,27.01560808,0
45,-16.32659545,-27.4748878,-3.88671399,9.388756084,32.66708571,82
46,-37.28661481,-17.74997947,-0.6798486438,-0.02160532634,13.18704622,2
47,-47.72917936,-24.60845456,8.385256489,4.03520273,17.60740078,2
48,2.553907817,-29.41206929,-5.229278551,3.264476803,33.71499756,94
49,-4.188964029,-9.389962097,-6.600612258,3.618798386,33.62865032,228
50,-32.7127519,-19.51527172,-6.240581094,-7.546541901,30.05192206,140
51,-46.38201445,-36.24986153,3.246403853,6.648668531,18.01416169,39
52,20.08053129,-34.00656027,-7.314867326,-4.244522366,36.3570242,48
