elapsed_s,duration_ms,time_to_goal,path_cost,obstacle_checks,rewire_neighbor_searches,orphaned_nodes,collision_count
0.00106577,6942.37,25,0,0,1362,43,1
6.99552,0.000317,24.98,141.313,0,1362,43,1
7.10165,0.000424,24.88,141.313,0,1362,43,1
7.15575,0.000762,24.82,141.313,0,1362,43,1
7.21016,0.000304,24.76,141.313,0,1362,43,1
7.26388,0.000441,24.72,141.313,0,1362,43,1
7.32014,0.000867,24.66,141.313,0,1362,43,1
7.38112,0.000366,24.61,141.313,0,1362,43,1
7.43568,0.000335,24.55,141.313,0,1362,43,1
7.49144,0.000323,24.49,141.313,0,1362,43,1
7.54521,0.000605,24.45,141.313,0,1362,43,1
7.59931,0.000525,24.39,141.313,0,1362,43,1
7.65376,0.000453,24.33,141.313,0,1362,43,1
7.71333,0.000342,24.27,141.313,0,1362,43,1
7.76739,0.000794,24.21,141.313,0,1362,43,1
7.82328,0.000334,24.17,141.313,0,1362,43,1
7.87661,0.000409,24.11,141.313,0,1362,43,1
7.93219,0.000278,24.05,141.313,0,1362,43,1
7.98627,0.000587,24.01,141.313,0,1362,43,1
8.04153,0.000346,23.95,141.313,0,1362,43,1
8.09548,0.000321,23.89,141.313,0,1362,43,1
8.14908,0.000317,23.83,141.313,0,1362,43,1
8.20276,0.000252,23.79,141.313,0,1362,43,1
8.25907,0.000832,23.73,141.313,0,1362,43,1
8.31969,0.000332,23.67,141.313,0,1362,43,1
8.37345,0.000688,23.61,141.313,0,1362,43,1
8.42915,0.000777,23.55,141.313,0,1362,43,1
8.48634,0.000281,23.51,141.313,0,1362,43,1
8.5407,0.000907,23.45,141.313,0,1362,43,1
8.59854,0.000642,23.39,141.313,0,1362,43,1
8.65803,0.000897,23.33,141.313,0,1362,43,1
8.7159,0.000328,23.28,141.313,0,1362,43,1
8.77142,0.000548,23.22,141.313,0,1362,43,1
8.82538,0.000375,23.18,141.313,0,1362,43,1
8.8792,0.000316,23.12,141.313,0,1362,43,1
8.93307,0.000401,23.06,141.313,0,1362,43,1
8.98687,0.000933,23.02,141.313,0,1362,43,1
9.04508,0.000275,22.96,141.313,0,1362,43,1
9.09832,0.000332,22.9,141.313,0,1362,43,1
9.15573,0.0003,22.84,141.313,0,1362,43,1
9.20916,0.000988,22.78,141.313,0,1362,43,1
9.26463,0.000415,22.74,141.313,0,1362,43,1
9.32151,0.000417,22.68,141.313,0,1362,43,1
9.37998,0.000559,22.62,141.313,0,1362,43,1
9.43453,0.000555,22.56,141.313,0,1362,43,1
9.49001,0.000419,22.5,141.313,0,1362,43,1
9.54431,0.000356,22.46,141.313,0,1362,43,1
9.6014,0.000444,22.4,141.313,0,1362,43,1
9.65463,0.000371,22.34,141.313,0,1362,43,1
9.71002,0.000421,22.28,141.313,0,1362,43,1
9.76575,0.000245,22.24,141.313,0,1362,43,1
9.81876,0.00032,22.18,141.313,0,1362,43,1
9.87265,0.000369,22.12,141.313,0,1362,43,1
9.92613,0.000284,22.08,141.313,0,1362,43,1
9.98089,0.000453,22.02,141.313,0,1362,43,1
10.0364,0.001091,21.96,141.313,0,1362,43,1
10.0921,0.00039,21.91,141.313,0,1362,43,1
10.1456,0.000347,21.87,141.313,0,1362,43,1
10.2,0.000349,21.81,141.313,0,1362,43,1
10.2536,0.000794,21.75,141.313,0,1362,43,1
10.3075,0.000932,21.69,141.313,0,1362,43,1
10.3662,0.000337,21.65,141.313,0,1362,43,1
10.4228,0.000352,21.59,141.313,0,1362,43,1
10.478,0.000898,21.53,141.313,0,1362,43,1
10.5374,0.001373,21.47,141.313,0,1362,43,1
10.5916,0.0008,21.41,141.313,0,1362,43,1
10.6449,0.00045,21.37,141.313,0,1362,43,1
10.6998,0.001188,21.31,141.313,0,1362,43,1
10.759,0.001188,21.25,141.313,0,1362,43,1
10.8152,0.000386,21.19,141.313,0,1362,43,1
10.8685,0.000811,21.13,141.313,0,1362,43,1
10.924,3774.66,21.09,0,136,275,26,1
14.7537,23694.9,17.27,0,418,1542,21,1
